
2021-12-13 19:54:11.770246;--;alfobot-testing;--;Tomás#9078;--;'jajajja';--;[];--;[]
2021-12-13 19:54:12.423331;--;alfobot-testing;--;Alfo-BOT#6622;--;'Lo leí en mi twitter jaja';--;['leer', 'twitter'];--;[]
2021-12-13 19:54:12.969922;--;alfobot-testing;--;Alfo-BOT#6622;--;'';--;[];--;[]
2021-12-13 19:54:15.567614;--;alfobot-testing;--;Adri#0739;--;'BRUTAL';--;['brutal'];--;[]
2021-12-13 19:54:48.898486;--;alfobot-testing;--;Adri#0739;--;'lo que quiero decir es que si se triggerea con un token... ambiguo... puede sacar un gif un poco comprometedor xD';--;['querer', 'decir', 'si', '...', 'ambiguo', '...', 'poder', 'sacar', 'triggerea', 'token', 'gif', 'comprometedor', 'xd'];--;[]
2021-12-13 19:54:55.707803;--;alfobot-testing;--;Tomás#9078;--;'si, total';--;['si', 'total'];--;[]
2021-12-13 19:55:05.970699;--;alfobot-testing;--;Tomás#9078;--;'pollo';--;['pollo'];--;[]
2021-12-13 19:55:06.813305;--;alfobot-testing;--;Alfo-BOT#6622;--;'En mercadona venden ensaladas que pueden ser solo de pollo';--;['vender', 'ensalada', 'poder', 'ser', 'solo', 'pollo', 'mercadona'];--;[]
2021-12-13 19:55:09.993675;--;alfobot-testing;--;davidmoscoso#5401;--;'jaja';--;[];--;[]
2021-12-13 19:55:10.486432;--;alfobot-testing;--;Alfo-BOT#6622;--;'De qué te ríes';--;['reír'];--;[]
2021-12-13 19:55:11.130289;--;alfobot-testing;--;Alfo-BOT#6622;--;'Pues Adrianbot es más gracioso aún';--;['pues', 'gracioso', 'aún', 'adrianbot'];--;[]
2021-12-13 19:55:12.144781;--;alfobot-testing;--;Adri#0739;--;'calzoncillo teta culo';--;['culo', 'calzoncillo', 'teta'];--;[]
2021-12-13 19:55:13.353987;--;alfobot-testing;--;Alfo-BOT#6622;--;'';--;[];--;[]
2021-12-13 19:55:19.054946;--;alfobot-testing;--;davidmoscoso#5401;--;'jaa4';--;['jaa4'];--;[]
2021-12-13 19:55:19.392956;--;alfobot-testing;--;Adri#0739;--;'JAJAJJAJAJAJAJAJJAJAJAJAJAJAJAJAJAAJ';--;[];--;[]
2021-12-13 19:55:20.576294;--;alfobot-testing;--;davidmoscoso#5401;--;'jaja';--;[];--;[]
2021-12-13 19:55:22.076736;--;alfobot-testing;--;Adri#0739;--;'ME DA ALGO';--;['dar'];--;[]
2021-12-13 19:56:30.902750;--;alfobot-testing;--;Tomás#9078;--;'Pero tienes razón. Lo que puse que usase es la api de giphy. No sé si ahí por defecto hace búsquedas SFW. Si no, sería lo suyo ponerselo';--;['razón', 'saber', 'si', 'ahí', 'defecto', 'hacer', 'si', 'puse', 'usar', 'api', 'giphy', 'búsqueda', 'sfw', 'ponerselo'];--;[]
2021-12-13 19:56:45.574524;--;alfobot-testing;--;Tomás#9078;--;'sdds';--;['sdds'];--;[]
2021-12-13 19:56:47.069229;--;alfobot-testing;--;Tomás#9078;--;'jajaja';--;[];--;[]
2021-12-13 19:56:47.942928;--;alfobot-testing;--;Alfo-BOT#6622;--;'Pues Adrianbot es más gracioso aún';--;['pues', 'gracioso', 'aún', 'adrianbot'];--;[]
2021-12-13 19:56:48.432287;--;alfobot-testing;--;Alfo-BOT#6622;--;'';--;[];--;[]
2021-12-13 19:57:18.288197;--;alfobot-testing;--;Adri#0739;--;'este bot es ORO en serio';--;['oro', 'serio', 'bot'];--;[]
2021-12-13 20:58:33.724563;--;alfobot-testing;--;Tomás#9078;--;'Alfobot party';--;['alfobot', 'party'];--;[]
2021-12-13 20:58:34.101157;--;alfobot-testing;--;Alfo-BOT#6622;--;'Chicos estoy aquí, hablen';--;['chico', 'aquí', 'hablar'];--;[]
2021-12-13 20:58:51.509860;--;alfobot-testing;--;Adri#0739;--;'dame un gif sexy, alfobot';--;['sexy', 'dama', 'gif', 'alfobot'];--;[]
2021-12-13 20:58:55.541286;--;alfobot-testing;--;Tomás#9078;--;'científico';--;['científico'];--;[]
2021-12-13 20:59:00.477343;--;alfobot-testing;--;Tomás#9078;--;'jajaj';--;[];--;[]
2021-12-13 20:59:01.054187;--;alfobot-testing;--;Adri#0739;--;'vaya por dios';--;['ir', 'dios'];--;[]
2021-12-13 20:59:01.504119;--;alfobot-testing;--;Alfo-BOT#6622;--;'De qué te ríes';--;['reír'];--;[]
2021-12-13 20:59:07.688003;--;alfobot-testing;--;Alfo-BOT#6622;--;'';--;[];--;[]
2021-12-13 20:59:24.781819;--;alfobot-testing;--;Adri#0739;--;'que buena, un gif de 100tifiko';--;['buen', 'gif', '100tifiko'];--;[]
2021-12-13 20:59:46.627432;--;alfobot-testing;--;Tomás#9078;--;'ahora mismo solo manda gifs cuando alguien se ríe tras una frase suya xD';--;['ahora', 'mismo', 'solo', 'manda', 'alguien', 'tras', 'frase', 'gifs', 'reír', 'xd'];--;[]
2021-12-13 20:59:53.453987;--;alfobot-testing;--;Adri#0739;--;'jajaja';--;[];--;[]
2021-12-13 20:59:54.045643;--;alfobot-testing;--;Alfo-BOT#6622;--;'Vaya CRACK soy, no?';--;['ir', 'crack'];--;[]
2021-12-13 20:59:54.298368;--;alfobot-testing;--;Alfo-BOT#6622;--;'Vaya CRACK soy, no?';--;['ir', 'crack'];--;[]
2021-12-13 20:59:54.604898;--;alfobot-testing;--;Alfo-BOT#6622;--;'';--;[];--;[]
2021-12-13 20:59:54.902381;--;alfobot-testing;--;Alfo-BOT#6622;--;'';--;[];--;[]
2021-12-13 21:00:02.708775;--;alfobot-testing;--;Adri#0739;--;'LOL';--;['lol'];--;[]
2021-12-13 21:00:24.033675;--;alfobot-testing;--;Tomás#9078;--;'qué dank xD';--;['dank', 'xd'];--;[]
2021-12-13 21:00:46.886355;--;alfobot-testing;--;Tomás#9078;--;'a ver';--;['ver'];--;[]
2021-12-13 21:00:49.994318;--;alfobot-testing;--;Tomás#9078;--;'pollo';--;['pollo'];--;[]
2021-12-13 21:00:51.168362;--;alfobot-testing;--;Alfo-BOT#6622;--;'Las ensaladas del mercadona son la hostia. Las puedes llenar de pollo, atún... con 3,50 ya tienes la comida hecha';--;['ensalada', 'hostia', 'poder', 'llenar', 'pollo', '...', 'comida', 'hacer', 'mercadona', 'atún', '3,50'];--;[]
