usuario;tokens;tiempo
Tomás#9078;['xdd'];2021-11-27 10:36:49.626708
Tomás#9078;['xdd'];2021-11-27 10:36:49.630771
Tomás#9078;['xdd'];2021-11-27 10:36:49.634000
Tomás#9078;['tweet', 'tal'];2021-11-27 10:37:03.146522
Tomás#9078;['tweet', 'tal'];2021-11-27 10:37:03.150770
Tomás#9078;['tweet', 'tal'];2021-11-27 10:37:03.154857
Tomás#9078;['tweet', 'tal'];2021-11-27 10:37:03.158864
Tomás#9078;['tweet', 'tal'];2021-11-27 10:37:03.163329
Tomás#9078;['veo', 'guardando', 'imputs', 'pedidos.csv', 'buena', 'base', 'datos', 'podemos', 'hacer', 'ahí'];2021-11-27 10:37:35.739164
Tomás#9078;['veo', 'guardando', 'imputs', 'pedidos.csv', 'buena', 'base', 'datos', 'podemos', 'hacer', 'ahí'];2021-11-27 10:37:35.873025
Tomás#9078;['veo', 'guardando', 'imputs', 'pedidos.csv', 'buena', 'base', 'datos', 'podemos', 'hacer', 'ahí'];2021-11-27 10:37:35.968300
Tomás#9078;['veo', 'guardando', 'imputs', 'pedidos.csv', 'buena', 'base', 'datos', 'podemos', 'hacer', 'ahí'];2021-11-27 10:37:36.067119
Tomás#9078;['veo', 'guardando', 'imputs', 'pedidos.csv', 'buena', 'base', 'datos', 'podemos', 'hacer', 'ahí'];2021-11-27 10:37:36.202443
davidmoscoso#5401;['jajajajaja', 'lado', 'oscuro', 'datos', 'llama', '😉'];2021-11-27 10:38:31.176813
davidmoscoso#5401;['jajajajaja', 'lado', 'oscuro', 'datos', 'llama', '😉'];2021-11-27 10:38:31.184806
davidmoscoso#5401;['jajajajaja', 'lado', 'oscuro', 'datos', 'llama', '😉'];2021-11-27 10:38:31.192081
davidmoscoso#5401;['jajajajaja', 'lado', 'oscuro', 'datos', 'llama', '😉'];2021-11-27 10:38:31.197747
davidmoscoso#5401;['jajajajaja', 'lado', 'oscuro', 'datos', 'llama', '😉'];2021-11-27 10:38:31.206833
Tomás#9078;['jajajajj'];2021-11-27 10:38:45.423228
Tomás#9078;['jajajajj'];2021-11-27 10:38:45.429066
Tomás#9078;['jajajajj'];2021-11-27 10:38:45.432922
Tomás#9078;['jajajajj'];2021-11-27 10:38:45.437211
Tomás#9078;['jajajajj'];2021-11-27 10:38:45.441694
Tomás#9078;"['oye', 'poner', '``', 'if', 'message.author', '=', 'client.user', ""''""]";2021-11-27 10:39:00.193289
Tomás#9078;"['oye', 'poner', '``', 'if', 'message.author', '=', 'client.user', ""''""]";2021-11-27 10:39:00.198413
Tomás#9078;"['oye', 'poner', '``', 'if', 'message.author', '=', 'client.user', ""''""]";2021-11-27 10:39:00.202282
Tomás#9078;"['oye', 'poner', '``', 'if', 'message.author', '=', 'client.user', ""''""]";2021-11-27 10:39:00.206646
Tomás#9078;"['oye', 'poner', '``', 'if', 'message.author', '=', 'client.user', ""''""]";2021-11-27 10:39:00.210598
davidmoscoso#5401;['si', 'responde', 'mismo'];2021-11-27 10:39:11.390053
davidmoscoso#5401;['si', 'responde', 'mismo'];2021-11-27 10:39:11.510845
davidmoscoso#5401;['si', 'responde', 'mismo'];2021-11-27 10:39:11.621321
davidmoscoso#5401;['si', 'responde', 'mismo'];2021-11-27 10:39:11.705732
davidmoscoso#5401;['si', 'responde', 'mismo'];2021-11-27 10:39:11.813421
Tomás#9078;['ah', 'dios'];2021-11-27 10:39:19.368786
Tomás#9078;['ah', 'dios'];2021-11-27 10:39:19.378349
Tomás#9078;['ah', 'dios'];2021-11-27 10:39:19.386332
Tomás#9078;['ah', 'dios'];2021-11-27 10:39:19.393580
Tomás#9078;['ah', 'dios'];2021-11-27 10:39:19.398454
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:47.981128
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:47.996152
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:48.002384
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:48.008305
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:48.013789
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:50.953234
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:50.973700
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:50.991226
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:51.037931
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:53.179732
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:53.185886
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:53.194646
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:39:53.199459
Tomás#9078;['pollo'];2021-11-27 10:39:59.213513
